ID	Key	繁中	英文	
1	STTut01	我們需要使用技能來戰鬥。而任何技能都要支付能量，能量要透過等待獲得。	We need to fight using skill. Energy is required for all skills. Energy is gained passively.	我们需要使用技能来战斗。而任何技能都要支付能量，能量要透过等待获得。
2	STTut02	我們來試試運用技能，製作一輛戰車。技能左方顯示能量需求。	Let's try to use your skills to build a tank.	我们来试试运用技能，制作一辆战车。技能左方显示能量需求。
3	STTut03	請點擊第1項技能 -- 普通底盤。	Please click on the first skill - Normal Baseplate	请点击第1项技能 -- 普通底盘。
4	STTut04	戰車由炮台和車身組成，接著點擊第2項技能 -- 普通炮台。	Tanks are made up of their baseplate and turrets.  Now, click on the second skilll - Normal Turret.	战车由炮台和车身组成，接着点击第2项技能 -- 普通炮台。
5	STTut05	當卡片所需的能量都相鄰時，可以讓小戰車獲得強化。	When you have enough energy to use all your cards, your side tank will be strengthened.	当卡片所需的能量都相邻时，可以让小战车获得强化。
6	STTut06	請選擇一條路線。	Please select lane to head down.	请选择一条路线。
7	STTut07	戰場由三條線路組成，小戰車會優先攻擊同線路的小戰車。若線路上沒有小戰車，則會攻擊敵方主戰車。	The battlefield is made up of three lanes. Side Tanks wil prioritise enemy Side Tanks in their lane as their attack target. If there are no enemy Side Tanks in their lane, then they will attack the enemy Main Tank	战场由三条线路组成，小战车会优先攻击同线路的小战车。若线路上没有小战车，则会攻击敌方主战车。
8	STTut08			
9	STTut09	注意，翰修是「不潔之人」，因此他所製造的戰車會隨時間而腐化的，請多加留意。	Remember, Josh is an Unclean. The tanks he create will degrade with time. Please keep that in mind.	注意，翰修是「不洁之人」，因此他所制造的战车会随时间而腐化的，请多加留意。
10	STTut10			
11	STTut11	可以點擊敵方的戰車，我方的主戰車便會轉為攻擊該目標。	Click on an enemy tank, the allied Main Tank will attack that target.	可以点击敌方的战车，我方的主战车便会转为攻击该目标。
12	STTut12			
13	STTut13	每到新的一天，玩家都可獲得新能力。	You will receive a new ability at the start of every day.	每到新的一天，玩家都可获得新能力。
14	STTut14			
15	STTut15	獲取能力可以讓玩家變強，照這個氣勢拿下勝利吧！	These skills will help you become stronger too! Keep going and achieve victory!	获取能力可以让玩家变强，照这个气势拿下胜利吧！
16	STTutB01	玩家可以編輯技能和主戰車，請點擊「快速改裝」	You can edit your skills and Main Tank. Please click on "Quick Edit".	玩家可以编辑技能和主战车，请点击「快速改装」
17	STTutB02	點擊「變更技能」	Click "Change Skill".	点击「变更技能」
18	STTutB03	左邊的是你擁有的技能，點擊它們可裝備。右邊的是你目前裝備的技能，點擊它們可解除裝備。	On the left, you will find all the skills you currently own. You can click on them to equip them. On the right are the skills you have already equiped. Click on these skills to unequip them.	左边的是你拥有的技能，点击它们可装备。右边的是你目前装备的技能，点击它们可解除装备。
19	STTutB04	你可以裝備最多8項技能，技能越多，戰鬥時的選項也會越多！	You can equip a maximum of 8 skills at the same time. The more skills you have, the more options you have in battle!	你可以装备最多8项技能，技能越多，战斗时的选项也会越多！
20	Hint001	戰場由三條線路組成，小戰車會優先攻擊同線路的小戰車。若線路上沒有小戰車，則會攻擊敵方主戰車。	The battlefield is made up of three lanes. Side Tanks wil prioritise enemy Side Tanks in their lane as their attack target. If there are no enemy Side Tanks in their lane, then they will attack the enemy Main Tank	战场由三条线路组成，小战车会优先攻击同线路的小战车。若线路上没有小战车，则会攻击敌方主战车。
21	Hint002	可以點擊敵方的戰車，我方的主戰車便會轉為攻擊該目標。	You can click on an enemy tank. The allied Main Tank will attack that target instead.	可以点击敌方的战车，我方的主战车便会转为攻击该目标。
22	Hint003	當卡片所需的能量都相鄰時，可以讓小戰車獲得強化。	Side Tanks will be powered up when cards	当卡片所需的能量都相邻时，可以让小战车获得强化。
